device,l_um,w_mm,metric,supply_class,vgs_v,worst_id_a,worst_corner,worst_temp_c,worst_vin_v,best_id_a,best_corner,best_temp_c,best_vin_v,meets_50mA_at_all_corners,meets_100mA_at_all_corners
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,4.93814e-05,ss,-40,3.63,0.0137959,ff,-40,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p5V,mv,1.8,2.85696e-10,ss,-40,5.50,0.00143848,ff,125,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.0223852,ss,125,2.10,0.0651189,ff,-40,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.0117204,ss,125,3.63,0.0510364,ff,-40,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost2p0V,mv,2.3,0.00225923,ss,125,5.50,0.0302468,ff,-40,4.50,no,no
nfet_06v0,1.20u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,-8.03848e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,-1.152e-10,typical,-40,2.97,no,no
nfet_06v0,1.20u,4,id_at_drop100mV,mv,0.1,-2.164e-10,typical,-40,5.50,-1.764e-10,typical,-40,4.50,no,no
nfet_06v0,1.20u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,typical,-40,2.10,-7.60732e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,-1.11199e-10,ff,125,2.97,no,no
nfet_06v0,1.20u,4,id_at_drop200mV,mv,0.2,-2.124e-10,typical,-40,5.50,-1.724e-10,typical,-40,4.50,no,no
nfet_06v0,1.20u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.24e-11,typical,-40,2.10,-6.55661e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,4,id_at_drop300mV,lv,0.3,-1.336e-10,typical,-40,3.63,-1.07179e-10,ff,125,2.97,no,no
nfet_06v0,1.20u,4,id_at_drop300mV,mv,0.3,-2.084e-10,typical,-40,5.50,-1.684e-10,typical,-40,4.50,no,no
