50	1.029201e-02	1.442260e+02	-6.87817e-01	
51	1.029793e-02	1.442260e+02	-6.88214e-01	
52	1.030386e-02	1.442260e+02	-6.88610e-01	
53	1.030979e-02	1.442260e+02	-6.89006e-01	
54	1.031573e-02	1.442260e+02	-6.89403e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
55	1.032167e-02	1.442260e+02	-6.89800e-01	
56	1.032761e-02	1.442260e+02	-6.90197e-01	
57	1.033356e-02	1.442260e+02	-6.90595e-01	
58	1.033951e-02	1.442260e+02	-6.90992e-01	
59	1.034546e-02	1.442260e+02	-6.91390e-01	
60	1.035142e-02	1.442260e+02	-6.91788e-01	
61	1.035738e-02	1.442260e+02	-6.92186e-01	
62	1.036335e-02	1.442260e+02	-6.92585e-01	
63	1.036931e-02	1.442260e+02	-6.92984e-01	
64	1.037528e-02	1.442260e+02	-6.93383e-01	
65	1.038126e-02	1.442260e+02	-6.93782e-01	
66	1.038724e-02	1.442260e+02	-6.94182e-01	
67	1.039322e-02	1.442260e+02	-6.94581e-01	
68	1.039920e-02	1.442260e+02	-6.94981e-01	
69	1.040519e-02	1.442260e+02	-6.95381e-01	
70	1.041118e-02	1.442260e+02	-6.95782e-01	
71	1.041718e-02	1.442260e+02	-6.96182e-01	
72	1.042317e-02	1.442260e+02	-6.96583e-01	
73	1.042918e-02	1.442260e+02	-6.96984e-01	
74	1.043518e-02	1.442260e+02	-6.97386e-01	
75	1.044119e-02	1.442260e+02	-6.97787e-01	
76	1.044720e-02	1.442260e+02	-6.98189e-01	
77	1.045322e-02	1.442260e+02	-6.98591e-01	
78	1.045924e-02	1.442259e+02	-6.98993e-01	
79	1.046526e-02	1.442259e+02	-6.99396e-01	
80	1.047129e-02	1.442259e+02	-6.99798e-01	
81	1.047731e-02	1.442259e+02	-7.00201e-01	
82	1.048335e-02	1.442259e+02	-7.00605e-01	
83	1.048938e-02	1.442259e+02	-7.01008e-01	
84	1.049542e-02	1.442259e+02	-7.01412e-01	
85	1.050147e-02	1.442259e+02	-7.01816e-01	
86	1.050751e-02	1.442259e+02	-7.02220e-01	
87	1.051356e-02	1.442259e+02	-7.02624e-01	
88	1.051962e-02	1.442259e+02	-7.03029e-01	
89	1.052568e-02	1.442259e+02	-7.03433e-01	
90	1.053174e-02	1.442259e+02	-7.03838e-01	
91	1.053780e-02	1.442259e+02	-7.04244e-01	
92	1.054387e-02	1.442259e+02	-7.04649e-01	
93	1.054994e-02	1.442259e+02	-7.05055e-01	
94	1.055602e-02	1.442259e+02	-7.05461e-01	
95	1.056209e-02	1.442259e+02	-7.05867e-01	
96	1.056818e-02	1.442259e+02	-7.06273e-01	
97	1.057426e-02	1.442259e+02	-7.06680e-01	
98	1.058035e-02	1.442259e+02	-7.07087e-01	
99	1.058644e-02	1.442259e+02	-7.07494e-01	
100	1.059254e-02	1.442259e+02	-7.07902e-01	
101	1.059864e-02	1.442259e+02	-7.08309e-01	
102	1.060474e-02	1.442259e+02	-7.08717e-01	
103	1.061085e-02	1.442259e+02	-7.09125e-01	
104	1.061696e-02	1.442259e+02	-7.09533e-01	
105	1.062307e-02	1.442259e+02	-7.09942e-01	
106	1.062919e-02	1.442259e+02	-7.10351e-01	
107	1.063531e-02	1.442259e+02	-7.10760e-01	
108	1.064143e-02	1.442259e+02	-7.11169e-01	
109	1.064756e-02	1.442259e+02	-7.11578e-01	
110	1.065369e-02	1.442259e+02	-7.11988e-01	
111	1.065982e-02	1.442259e+02	-7.12398e-01	
112	1.066596e-02	1.442259e+02	-7.12808e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
113	1.067210e-02	1.442259e+02	-7.13219e-01	
114	1.067825e-02	1.442259e+02	-7.13629e-01	
115	1.068440e-02	1.442259e+02	-7.14040e-01	
116	1.069055e-02	1.442259e+02	-7.14451e-01	
117	1.069670e-02	1.442259e+02	-7.14863e-01	
118	1.070286e-02	1.442259e+02	-7.15274e-01	
119	1.070903e-02	1.442259e+02	-7.15686e-01	
120	1.071519e-02	1.442259e+02	-7.16098e-01	
121	1.072136e-02	1.442259e+02	-7.16511e-01	
122	1.072754e-02	1.442259e+02	-7.16923e-01	
123	1.073371e-02	1.442259e+02	-7.17336e-01	
124	1.073989e-02	1.442259e+02	-7.17749e-01	
125	1.074608e-02	1.442259e+02	-7.18162e-01	
126	1.075227e-02	1.442259e+02	-7.18576e-01	
127	1.075846e-02	1.442259e+02	-7.18990e-01	
128	1.076465e-02	1.442259e+02	-7.19404e-01	
129	1.077085e-02	1.442259e+02	-7.19818e-01	
130	1.077705e-02	1.442259e+02	-7.20232e-01	
131	1.078326e-02	1.442259e+02	-7.20647e-01	
132	1.078947e-02	1.442259e+02	-7.21062e-01	
133	1.079568e-02	1.442259e+02	-7.21477e-01	
134	1.080190e-02	1.442259e+02	-7.21893e-01	
135	1.080812e-02	1.442259e+02	-7.22308e-01	
136	1.081434e-02	1.442259e+02	-7.22724e-01	
137	1.082057e-02	1.442259e+02	-7.23140e-01	
138	1.082680e-02	1.442259e+02	-7.23557e-01	
139	1.083303e-02	1.442259e+02	-7.23973e-01	
140	1.083927e-02	1.442259e+02	-7.24390e-01	
141	1.084551e-02	1.442259e+02	-7.24807e-01	
142	1.085176e-02	1.442259e+02	-7.25225e-01	
143	1.085800e-02	1.442259e+02	-7.25642e-01	
144	1.086426e-02	1.442259e+02	-7.26060e-01	
145	1.087051e-02	1.442259e+02	-7.26478e-01	
146	1.087677e-02	1.442259e+02	-7.26896e-01	
147	1.088303e-02	1.442259e+02	-7.27315e-01	
148	1.088930e-02	1.442259e+02	-7.27734e-01	
149	1.089557e-02	1.442259e+02	-7.28153e-01	
150	1.090184e-02	1.442259e+02	-7.28572e-01	
151	1.090812e-02	1.442259e+02	-7.28992e-01	
152	1.091440e-02	1.442259e+02	-7.29411e-01	
153	1.092069e-02	1.442259e+02	-7.29831e-01	
154	1.092698e-02	1.442259e+02	-7.30252e-01	
155	1.093327e-02	1.442259e+02	-7.30672e-01	
156	1.093956e-02	1.442259e+02	-7.31093e-01	
157	1.094586e-02	1.442259e+02	-7.31514e-01	
158	1.095217e-02	1.442259e+02	-7.31935e-01	
159	1.095847e-02	1.442259e+02	-7.32356e-01	
160	1.096478e-02	1.442259e+02	-7.32778e-01	
161	1.097110e-02	1.442259e+02	-7.33200e-01	
162	1.097741e-02	1.442259e+02	-7.33622e-01	
163	1.098373e-02	1.442259e+02	-7.34045e-01	
164	1.099006e-02	1.442259e+02	-7.34467e-01	
165	1.099639e-02	1.442259e+02	-7.34890e-01	
166	1.100272e-02	1.442259e+02	-7.35313e-01	
167	1.100905e-02	1.442259e+02	-7.35737e-01	
168	1.101539e-02	1.442259e+02	-7.36160e-01	
169	1.102174e-02	1.442259e+02	-7.36584e-01	
170	1.102808e-02	1.442259e+02	-7.37008e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
171	1.103443e-02	1.442259e+02	-7.37433e-01	
172	1.104079e-02	1.442259e+02	-7.37857e-01	
173	1.104714e-02	1.442259e+02	-7.38282e-01	
174	1.105350e-02	1.442259e+02	-7.38707e-01	
175	1.105987e-02	1.442259e+02	-7.39133e-01	
176	1.106624e-02	1.442259e+02	-7.39558e-01	
177	1.107261e-02	1.442259e+02	-7.39984e-01	
178	1.107899e-02	1.442259e+02	-7.40410e-01	
179	1.108537e-02	1.442259e+02	-7.40836e-01	
180	1.109175e-02	1.442259e+02	-7.41263e-01	
181	1.109813e-02	1.442259e+02	-7.41690e-01	
182	1.110453e-02	1.442259e+02	-7.42117e-01	
183	1.111092e-02	1.442259e+02	-7.42544e-01	
184	1.111732e-02	1.442259e+02	-7.42972e-01	
185	1.112372e-02	1.442259e+02	-7.43399e-01	
186	1.113012e-02	1.442259e+02	-7.43827e-01	
187	1.113653e-02	1.442259e+02	-7.44256e-01	
188	1.114295e-02	1.442259e+02	-7.44684e-01	
189	1.114936e-02	1.442259e+02	-7.45113e-01	
190	1.115578e-02	1.442259e+02	-7.45542e-01	
191	1.116221e-02	1.442259e+02	-7.45971e-01	
192	1.116863e-02	1.442259e+02	-7.46401e-01	
193	1.117506e-02	1.442259e+02	-7.46831e-01	
194	1.118150e-02	1.442259e+02	-7.47261e-01	
195	1.118794e-02	1.442259e+02	-7.47691e-01	
196	1.119438e-02	1.442259e+02	-7.48122e-01	
197	1.120082e-02	1.442259e+02	-7.48552e-01	
198	1.120727e-02	1.442259e+02	-7.48983e-01	
199	1.121373e-02	1.442259e+02	-7.49415e-01	
200	1.122018e-02	1.442259e+02	-7.49846e-01	
201	1.122665e-02	1.442259e+02	-7.50278e-01	
202	1.123311e-02	1.442259e+02	-7.50710e-01	
203	1.123958e-02	1.442259e+02	-7.51142e-01	
204	1.124605e-02	1.442259e+02	-7.51575e-01	
205	1.125253e-02	1.442259e+02	-7.52007e-01	
206	1.125900e-02	1.442259e+02	-7.52440e-01	
207	1.126549e-02	1.442259e+02	-7.52874e-01	
208	1.127197e-02	1.442259e+02	-7.53307e-01	
209	1.127847e-02	1.442259e+02	-7.53741e-01	
210	1.128496e-02	1.442259e+02	-7.54175e-01	
211	1.129146e-02	1.442259e+02	-7.54609e-01	
212	1.129796e-02	1.442259e+02	-7.55044e-01	
213	1.130446e-02	1.442259e+02	-7.55478e-01	
214	1.131097e-02	1.442259e+02	-7.55913e-01	
215	1.131749e-02	1.442259e+02	-7.56349e-01	
216	1.132400e-02	1.442259e+02	-7.56784e-01	
217	1.133052e-02	1.442259e+02	-7.57220e-01	
218	1.133705e-02	1.442259e+02	-7.57656e-01	
219	1.134358e-02	1.442259e+02	-7.58092e-01	
220	1.135011e-02	1.442259e+02	-7.58529e-01	
221	1.135664e-02	1.442259e+02	-7.58965e-01	
222	1.136318e-02	1.442259e+02	-7.59402e-01	
223	1.136973e-02	1.442259e+02	-7.59840e-01	
224	1.137627e-02	1.442259e+02	-7.60277e-01	
225	1.138282e-02	1.442259e+02	-7.60715e-01	
226	1.138938e-02	1.442259e+02	-7.61153e-01	
227	1.139594e-02	1.442259e+02	-7.61591e-01	
228	1.140250e-02	1.442259e+02	-7.62030e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
229	1.140906e-02	1.442259e+02	-7.62468e-01	
230	1.141563e-02	1.442259e+02	-7.62907e-01	
231	1.142221e-02	1.442259e+02	-7.63347e-01	
232	1.142878e-02	1.442259e+02	-7.63786e-01	
233	1.143536e-02	1.442259e+02	-7.64226e-01	
234	1.144195e-02	1.442259e+02	-7.64666e-01	
235	1.144854e-02	1.442259e+02	-7.65106e-01	
236	1.145513e-02	1.442259e+02	-7.65547e-01	
237	1.146173e-02	1.442259e+02	-7.65988e-01	
238	1.146833e-02	1.442259e+02	-7.66429e-01	
239	1.147493e-02	1.442259e+02	-7.66870e-01	
240	1.148154e-02	1.442259e+02	-7.67312e-01	
241	1.148815e-02	1.442259e+02	-7.67753e-01	
242	1.149476e-02	1.442259e+02	-7.68196e-01	
243	1.150138e-02	1.442259e+02	-7.68638e-01	
244	1.150800e-02	1.442259e+02	-7.69080e-01	
245	1.151463e-02	1.442259e+02	-7.69523e-01	
246	1.152126e-02	1.442259e+02	-7.69966e-01	
247	1.152789e-02	1.442259e+02	-7.70410e-01	
248	1.153453e-02	1.442259e+02	-7.70853e-01	
249	1.154117e-02	1.442259e+02	-7.71297e-01	
250	1.154782e-02	1.442259e+02	-7.71741e-01	
251	1.155447e-02	1.442259e+02	-7.72186e-01	
252	1.156112e-02	1.442259e+02	-7.72630e-01	
253	1.156778e-02	1.442259e+02	-7.73075e-01	
254	1.157444e-02	1.442259e+02	-7.73520e-01	
255	1.158111e-02	1.442259e+02	-7.73966e-01	
256	1.158777e-02	1.442259e+02	-7.74411e-01	
257	1.159445e-02	1.442259e+02	-7.74857e-01	
258	1.160112e-02	1.442259e+02	-7.75303e-01	
259	1.160780e-02	1.442259e+02	-7.75750e-01	
260	1.161449e-02	1.442259e+02	-7.76196e-01	
261	1.162117e-02	1.442259e+02	-7.76643e-01	
262	1.162787e-02	1.442259e+02	-7.77090e-01	
263	1.163456e-02	1.442259e+02	-7.77538e-01	
264	1.164126e-02	1.442259e+02	-7.77986e-01	
265	1.164796e-02	1.442259e+02	-7.78434e-01	
266	1.165467e-02	1.442259e+02	-7.78882e-01	
267	1.166138e-02	1.442259e+02	-7.79330e-01	
268	1.166810e-02	1.442259e+02	-7.79779e-01	
269	1.167481e-02	1.442259e+02	-7.80228e-01	
270	1.168154e-02	1.442259e+02	-7.80677e-01	
271	1.168826e-02	1.442259e+02	-7.81127e-01	
272	1.169499e-02	1.442259e+02	-7.81577e-01	
273	1.170173e-02	1.442259e+02	-7.82027e-01	
274	1.170847e-02	1.442259e+02	-7.82477e-01	
275	1.171521e-02	1.442259e+02	-7.82927e-01	
276	1.172195e-02	1.442259e+02	-7.83378e-01	
277	1.172870e-02	1.442259e+02	-7.83829e-01	
278	1.173546e-02	1.442259e+02	-7.84281e-01	
279	1.174221e-02	1.442259e+02	-7.84732e-01	
280	1.174898e-02	1.442259e+02	-7.85184e-01	
281	1.175574e-02	1.442259e+02	-7.85636e-01	
282	1.176251e-02	1.442259e+02	-7.86088e-01	
283	1.176928e-02	1.442259e+02	-7.86541e-01	
284	1.177606e-02	1.442259e+02	-7.86994e-01	
285	1.178284e-02	1.442259e+02	-7.87447e-01	
286	1.178963e-02	1.442259e+02	-7.87901e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
287	1.179641e-02	1.442259e+02	-7.88354e-01	
288	1.180321e-02	1.442259e+02	-7.88808e-01	
289	1.181000e-02	1.442259e+02	-7.89262e-01	
290	1.181680e-02	1.442259e+02	-7.89717e-01	
291	1.182361e-02	1.442259e+02	-7.90171e-01	
292	1.183042e-02	1.442259e+02	-7.90626e-01	
293	1.183723e-02	1.442259e+02	-7.91082e-01	
294	1.184404e-02	1.442259e+02	-7.91537e-01	
295	1.185086e-02	1.442259e+02	-7.91993e-01	
296	1.185769e-02	1.442259e+02	-7.92449e-01	
297	1.186452e-02	1.442259e+02	-7.92905e-01	
298	1.187135e-02	1.442259e+02	-7.93362e-01	
299	1.187818e-02	1.442259e+02	-7.93819e-01	
300	1.188502e-02	1.442259e+02	-7.94276e-01	
301	1.189187e-02	1.442259e+02	-7.94733e-01	
302	1.189871e-02	1.442259e+02	-7.95191e-01	
303	1.190556e-02	1.442259e+02	-7.95648e-01	
304	1.191242e-02	1.442259e+02	-7.96107e-01	
305	1.191928e-02	1.442258e+02	-7.96565e-01	
306	1.192614e-02	1.442258e+02	-7.97024e-01	
307	1.193301e-02	1.442258e+02	-7.97483e-01	
308	1.193988e-02	1.442258e+02	-7.97942e-01	
309	1.194676e-02	1.442258e+02	-7.98401e-01	
310	1.195364e-02	1.442258e+02	-7.98861e-01	
311	1.196052e-02	1.442258e+02	-7.99321e-01	
312	1.196741e-02	1.442258e+02	-7.99781e-01	
313	1.197430e-02	1.442258e+02	-8.00242e-01	
314	1.198119e-02	1.442258e+02	-8.00702e-01	
315	1.198809e-02	1.442258e+02	-8.01163e-01	
316	1.199499e-02	1.442258e+02	-8.01625e-01	
317	1.200190e-02	1.442258e+02	-8.02086e-01	
318	1.200881e-02	1.442258e+02	-8.02548e-01	
319	1.201573e-02	1.442258e+02	-8.03010e-01	
320	1.202264e-02	1.442258e+02	-8.03473e-01	
321	1.202957e-02	1.442258e+02	-8.03935e-01	
322	1.203649e-02	1.442258e+02	-8.04398e-01	
323	1.204342e-02	1.442258e+02	-8.04861e-01	
324	1.205036e-02	1.442258e+02	-8.05325e-01	
325	1.205730e-02	1.442258e+02	-8.05788e-01	
326	1.206424e-02	1.442258e+02	-8.06252e-01	
327	1.207119e-02	1.442258e+02	-8.06717e-01	
328	1.207814e-02	1.442258e+02	-8.07181e-01	
329	1.208509e-02	1.442258e+02	-8.07646e-01	
330	1.209205e-02	1.442258e+02	-8.08111e-01	
331	1.209901e-02	1.442258e+02	-8.08576e-01	
332	1.210598e-02	1.442258e+02	-8.09042e-01	
333	1.211295e-02	1.442258e+02	-8.09508e-01	
334	1.211993e-02	1.442258e+02	-8.09974e-01	
335	1.212691e-02	1.442258e+02	-8.10440e-01	
336	1.213389e-02	1.442258e+02	-8.10907e-01	
337	1.214088e-02	1.442258e+02	-8.11374e-01	
338	1.214787e-02	1.442258e+02	-8.11841e-01	
339	1.215486e-02	1.442258e+02	-8.12308e-01	
340	1.216186e-02	1.442258e+02	-8.12776e-01	
341	1.216886e-02	1.442258e+02	-8.13244e-01	
342	1.217587e-02	1.442258e+02	-8.13712e-01	
343	1.218288e-02	1.442258e+02	-8.14181e-01	
344	1.218990e-02	1.442258e+02	-8.14650e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
345	1.219692e-02	1.442258e+02	-8.15119e-01	
346	1.220394e-02	1.442258e+02	-8.15588e-01	
347	1.221097e-02	1.442258e+02	-8.16058e-01	
348	1.221800e-02	1.442258e+02	-8.16528e-01	
349	1.222503e-02	1.442258e+02	-8.16998e-01	
350	1.223207e-02	1.442258e+02	-8.17468e-01	
351	1.223911e-02	1.442258e+02	-8.17939e-01	
352	1.224616e-02	1.442258e+02	-8.18410e-01	
353	1.225321e-02	1.442258e+02	-8.18881e-01	
354	1.226027e-02	1.442258e+02	-8.19352e-01	
355	1.226733e-02	1.442258e+02	-8.19824e-01	
356	1.227439e-02	1.442258e+02	-8.20296e-01	
357	1.228146e-02	1.442258e+02	-8.20769e-01	
358	1.228853e-02	1.442258e+02	-8.21241e-01	
359	1.229561e-02	1.442258e+02	-8.21714e-01	
360	1.230269e-02	1.442258e+02	-8.22187e-01	
361	1.230977e-02	1.442258e+02	-8.22661e-01	
362	1.231686e-02	1.442258e+02	-8.23134e-01	
363	1.232395e-02	1.442258e+02	-8.23608e-01	
364	1.233105e-02	1.442258e+02	-8.24082e-01	
365	1.233815e-02	1.442258e+02	-8.24557e-01	
366	1.234525e-02	1.442258e+02	-8.25032e-01	
367	1.235236e-02	1.442258e+02	-8.25507e-01	
368	1.235947e-02	1.442258e+02	-8.25982e-01	
369	1.236659e-02	1.442258e+02	-8.26458e-01	
370	1.237371e-02	1.442258e+02	-8.26934e-01	
371	1.238084e-02	1.442258e+02	-8.27410e-01	
372	1.238797e-02	1.442258e+02	-8.27886e-01	
373	1.239510e-02	1.442258e+02	-8.28363e-01	
374	1.240224e-02	1.442258e+02	-8.28840e-01	
375	1.240938e-02	1.442258e+02	-8.29317e-01	
376	1.241652e-02	1.442258e+02	-8.29795e-01	
377	1.242367e-02	1.442258e+02	-8.30272e-01	
378	1.243083e-02	1.442258e+02	-8.30750e-01	
379	1.243798e-02	1.442258e+02	-8.31229e-01	
380	1.244515e-02	1.442258e+02	-8.31707e-01	
381	1.245231e-02	1.442258e+02	-8.32186e-01	
382	1.245948e-02	1.442258e+02	-8.32665e-01	
383	1.246666e-02	1.442258e+02	-8.33145e-01	
384	1.247384e-02	1.442258e+02	-8.33625e-01	
385	1.248102e-02	1.442258e+02	-8.34105e-01	
386	1.248820e-02	1.442258e+02	-8.34585e-01	
387	1.249540e-02	1.442258e+02	-8.35065e-01	
388	1.250259e-02	1.442258e+02	-8.35546e-01	
389	1.250979e-02	1.442258e+02	-8.36027e-01	
390	1.251699e-02	1.442258e+02	-8.36509e-01	
391	1.252420e-02	1.442258e+02	-8.36990e-01	
392	1.253141e-02	1.442258e+02	-8.37472e-01	
393	1.253863e-02	1.442258e+02	-8.37954e-01	
394	1.254585e-02	1.442258e+02	-8.38437e-01	
395	1.255307e-02	1.442258e+02	-8.38920e-01	
396	1.256030e-02	1.442258e+02	-8.39403e-01	
397	1.256753e-02	1.442258e+02	-8.39886e-01	
398	1.257477e-02	1.442258e+02	-8.40370e-01	
399	1.258201e-02	1.442258e+02	-8.40854e-01	
400	1.258925e-02	1.442258e+02	-8.41338e-01	
401	1.259650e-02	1.442258e+02	-8.41822e-01	
402	1.260376e-02	1.442258e+02	-8.42307e-01	

Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
403	1.261101e-02	1.442258e+02	-8.42792e-01	
404	1.261828e-02	1.442258e+02	-8.43277e-01	
405	1.262554e-02	1.442258e+02	-8.43763e-01	
406	1.263281e-02	1.442258e+02	-8.44248e-01	
407	1.264009e-02	1.442258e+02	-8.44735e-01	
408	1.264736e-02	1.442258e+02	-8.45221e-01	
409	1.265465e-02	1.442258e+02	-8.45708e-01	
410	1.266193e-02	1.442258e+02	-8.46195e-01	
411	1.266922e-02	1.442258e+02	-8.46682e-01	
412	1.267652e-02	1.442258e+02	-8.47169e-01	
413	1.268382e-02	1.442258e+02	-8.47657e-01	
414	1.269112e-02	1.442258e+02	-8.48145e-01	
415	1.269843e-02	1.442258e+02	-8.48634e-01	
416	1.270574e-02	1.442258e+02	-8.49122e-01	
417	1.271306e-02	1.442258e+02	-8.49611e-01	
418	1.272038e-02	1.442258e+02	-8.50100e-01	
419	1.272770e-02	1.442258e+02	-8.50590e-01	
420	1.273503e-02	1.442258e+02	-8.51079e-01	
421	1.274236e-02	1.442258e+02	-8.51570e-01	
422	1.274970e-02	1.442258e+02	-8.52060e-01	
423	1.275704e-02	1.442258e+02	-8.52550e-01	
424	1.276439e-02	1.442258e+02	-8.53041e-01	
425	1.277174e-02	1.442258e+02	-8.53533e-01	
426	1.277909e-02	1.442258e+02	-8.54024e-01	
427	1.278645e-02	1.442258e+02	-8.54516e-01	
428	1.279381e-02	1.442258e+02	-8.55008e-01	
429	1.280118e-02	1.442258e+02	-8.55500e-01	
430	1.280855e-02	1.442258e+02	-8.55993e-01	
431	1.281593e-02	1.442258e+02	-8.56486e-01	
432	1.282331e-02	1.442258e+02	-8.56979e-01	
433	1.283069e-02	1.442258e+02	-8.57472e-01	
434	1.283808e-02	1.442258e+02	-8.57966e-01	
435	1.284547e-02	1.442258e+02	-8.58460e-01	
436	1.285287e-02	1.442258e+02	-8.58954e-01	
437	1.286027e-02	1.442258e+02	-8.59449e-01	
438	1.286767e-02	1.442258e+02	-8.59944e-01	
439	1.287508e-02	1.442258e+02	-8.60439e-01	
440	1.288250e-02	1.442258e+02	-8.60934e-01	
