corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,clg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,clg_off_tran,slope_vpms,t_startup_ms
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000873764,0.00243478,0.00289966,1.85023,1.77677,213.059,263.861,452.719,-1044.64,2.31108,4.47119,0.066379,2.164e-08,3.63001,8.41517e-09,5.99643e-06,0.640608,2.89966
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.00087059,0.00243471,0.00289959,1.80366,1.79934,24.0243,53.1207,5.09762,-0.710806,2.31109,3.62993,1.14948e-09,0.00882139,3.63002,3.02642e-09,2.30015e-05,0.639337,2.89959
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000873586,0.00243471,0.00289959,1.88538,1.7753,167.501,219.886,1503.85,-741.536,2.31108,4.05406,0.105258,0.00936088,3.63003,-1.94283e-09,2.79834e-05,0.640564,2.89959
ff_125c_2.97v_0.33u_0.001_36,ff,125,2.97,0.33u,0.001,36,0.000769741,0.00196636,0.00229547,1.88288,1.76236,79.6488,127.872,183.71,-155.785,1.98709,3.83166,0.221021,6.05925e-06,2.96999,4.92108e-08,-1.52292e-05,0.835688,2.29547
ff_125c_2.97v_0.33u_0.5_36,ff,125,2.97,0.33u,0.5,36,0.000769741,0.00196636,0.00229547,1.90981,1.82911,96.1659,147.143,979.226,-575.783,1.9871,2.40805,0.171335,6.05413e-06,2.97001,4.53067e-08,5.70247e-06,0.835688,2.29547
ff_125c_2.97v_1u_0.1_1e9,ff,125,2.97,1u,0.1,1e9,0.000754382,0.00195451,0.00229052,1.80344,1.8019,5.8072,5.82813,5.79519,-0.000285382,1.98709,2.96669,0.000113196,1.80015,2.97,4.58957e-08,3.14438e-06,0.833244,2.29052
ff_125c_2.97v_1u_0.1_36,ff,125,2.97,1u,0.1,36,0.000769682,0.00196636,0.00229547,1.83872,1.81833,102.851,152.97,190.659,-75.46,1.9871,2.66861,0.0655445,6.05211e-06,2.97004,3.15902e-08,3.79462e-05,0.835647,2.29547
ff_125c_2.97v_4.7u_0.001_36,ff,125,2.97,4.7u,0.001,36,0.000770096,0.00196635,0.00229548,1.80179,1.79908,20.5859,53.7748,4.37603,-0.747506,1.98709,2.96669,1.31988e-10,0.00882391,2.97,4.60132e-08,2.57912e-06,0.835943,2.29548
ff_125c_2.97v_4.7u_0.5_36,ff,125,2.97,4.7u,0.5,36,0.000769514,0.00196636,0.00229548,1.84873,1.83014,99.8731,151.275,619.204,-215.324,1.9871,2.48597,0.0744843,0.00935796,2.96997,5.92228e-08,-2.99765e-05,0.835529,2.29548
ff_125c_3.30v_1u_0.1_36,ff,125,3.30,1u,0.1,36,0.000791962,0.00199675,0.00233115,1.83968,1.807,114.091,164.271,166.563,-77.2263,2.06499,3.26565,0.0846489,6.80542e-06,3.30002,4.07777e-08,1.74825e-05,0.830022,2.33115
ff_125c_3.63v_0.33u_0.001_36,ff,125,3.63,0.33u,0.001,36,0.000812402,0.00202283,0.0023606,1.88129,1.81457,86.4242,135.618,195.189,-155.302,2.13908,4.14003,0.215412,7.71415e-06,3.63003,4.22953e-08,3.61022e-05,0.826154,2.3606
ff_125c_3.63v_0.33u_0.5_36,ff,125,3.63,0.33u,0.5,36,0.000812402,0.00202283,0.0023606,1.87228,1.75389,112.873,164.209,1280.93,-536.804,2.13905,3.87182,0.137568,7.72711e-06,3.62999,4.56333e-08,-1.31841e-05,0.826154,2.3606
ff_125c_3.63v_1u_0.1_1e9,ff,125,3.63,1u,0.1,1e9,0.0008193,0.00202813,0.00235493,1.80213,1.80078,5.71245,5.73878,5.69725,-0.000251449,2.13907,3.62632,9.92464e-05,1.79906,3.63,4.34855e-08,-3.34184e-06,0.827246,2.35493
ff_125c_3.63v_1u_0.1_36,ff,125,3.63,1u,0.1,36,0.000812382,0.00202283,0.0023606,1.82781,1.79145,117.531,167.751,189.485,-55.5482,2.13906,4.21481,0.0500422,7.70517e-06,3.63004,3.88086e-08,4.27254e-05,0.82614,2.3606
ff_125c_3.63v_4.7u_0.001_36,ff,125,3.63,4.7u,0.001,36,0.000802715,0.00202284,0.0023606,1.8005,1.79885,20.4201,53.6183,4.34101,-0.715499,2.13907,3.62632,3.53904e-09,0.00882318,3.62997,4.26496e-08,-2.74633e-05,0.819588,2.3606
ff_125c_3.63v_4.7u_0.5_36,ff,125,3.63,4.7u,0.5,36,0.000809457,0.00202282,0.0023606,1.85254,1.779,106.45,157.917,714.09,-423.103,2.13906,3.93402,0.0786999,0.00936048,3.62997,4.95699e-08,-2.86773e-05,0.824156,2.3606
ff_27c_2.97v_1u_0.1_36,ff,27,2.97,1u,0.1,36,0.000787807,0.0021517,0.00253986,1.85801,1.80699,148.69,199.182,287.739,-98.4859,2.08824,2.27056,0.0810292,2.12882e-08,2.96996,2.36567e-08,-3.84444e-05,0.733195,2.53986
ff_27c_3.30v_1u_0.1_36,ff,27,3.30,1u,0.1,36,0.000810471,0.00218371,0.00257864,1.84555,1.80402,149.353,199.829,263.131,-162.769,2.16691,3.4577,0.0899645,2.43832e-08,3.29998,1.61429e-08,-1.86199e-05,0.728205,2.57864
ff_27c_3.63v_1u_0.1_36,ff,27,3.63,1u,0.1,36,0.000830804,0.00221016,0.00260898,1.84159,1.80461,151.699,202.197,298.521,-299.164,2.24155,3.55901,0.062969,4.24423e-08,3.62998,1.88715e-08,-2.3437e-05,0.724976,2.60898
fs_-40c_2.97v_1u_0.1_36,fs,-40,2.97,1u,0.1,36,0.00111171,0.00336595,0.004048,1.90596,1.80902,144.227,193.345,225.468,-172.419,2.19462,4.02198,0.178766,-6.77209e-11,2.97001,1.28395e-08,6.59385e-06,0.443608,4.048
fs_-40c_3.30v_1u_0.1_36,fs,-40,3.30,1u,0.1,36,0.00115083,0.00343597,0.00415288,1.91143,1.79712,204.743,255.502,270.854,-121.633,2.19547,2.99746,0.130066,2.92078e-09,3.3,8.25859e-09,4.375e-06,0.43761,4.15288
fs_-40c_3.63v_1u_0.1_36,fs,-40,3.63,1u,0.1,36,0.00118421,0.00348543,0.00421523,1.88788,1.79888,227.775,278.643,330.719,-200.447,2.19605,3.55474,0.139997,1.19943e-08,3.63,1.12246e-08,-4.40064e-06,0.434552,4.21523
fs_125c_2.97v_1u_0.1_36,fs,125,2.97,1u,0.1,36,0.000996565,0.00274273,0.00325999,1.86503,1.77553,98.5131,148.417,143.515,-70.0189,2.155,3.2472,0.130769,9.56114e-08,2.97003,2.75045e-08,2.94933e-05,0.572684,3.25999
fs_125c_3.30v_1u_0.1_36,fs,125,3.30,1u,0.1,36,0.0010348,0.00280121,0.00333408,1.84645,1.79772,106.559,156.38,145.697,-71.4651,2.24078,4.4448,0.0972887,1.09356e-07,3.30001,3.74856e-08,1.41977e-05,0.56612,3.33408
fs_125c_3.63v_1u_0.1_36,fs,125,3.63,1u,0.1,36,0.00107004,0.00284927,0.00339062,1.83608,1.81917,111.353,161.262,234.992,-101.642,2.32229,3.08503,0.0579814,1.26809e-07,3.63001,3.30491e-08,1.40674e-05,0.562041,3.39062
fs_27c_2.97v_1u_0.1_36,fs,27,2.97,1u,0.1,36,0.00103825,0.00303034,0.0036281,1.88411,1.78972,117.982,168.01,170.588,-81.7201,2.25563,3.95229,0.176073,-1.07977e-08,2.97006,3.32803e-09,6.86941e-05,0.501985,3.6281
fs_27c_3.30v_1u_0.1_36,fs,27,3.30,1u,0.1,36,0.0010775,0.00309538,0.0037171,1.87627,1.79492,148.594,198.957,200.864,-92.444,2.34213,2.83392,0.131427,1.1412e-08,3.29996,2.56342e-08,-3.74648e-05,0.49557,3.7171
fs_27c_3.63v_1u_0.1_36,fs,27,3.63,1u,0.1,36,0.00111247,0.00314512,0.00377765,1.84986,1.82262,160.164,210.56,280.812,-193.559,2.41914,4.11036,0.106777,1.21203e-08,3.63,1.35459e-08,-5.20194e-06,0.491969,3.77765
res_ff_-40c_2.97v_0.33u_0.001_36,res_ff,-40,2.97,0.33u,0.001,36,0.000880872,0.00258213,0.00308261,1.9684,1.85109,102.924,151.513,253.525,-162.067,2.26028,3.78901,0.381417,1.61915e-09,2.97,9.71535e-09,-3.67702e-07,0.5878,3.08261
res_ff_-40c_2.97v_0.33u_0.5_36,res_ff,-40,2.97,0.33u,0.5,36,0.000880872,0.00258213,0.00308261,1.98595,1.79364,136.417,188.421,1255.35,-1166.5,2.26026,2.90159,0.353247,-2.57304e-08,2.97002,1.59525e-09,2.43513e-05,0.5878,3.08261
res_ff_-40c_2.97v_1u_0.1_1e9,res_ff,-40,2.97,1u,0.1,1e9,0.000844735,0.00258068,0.00308046,1.80675,1.80327,7.54776,7.56369,7.5059,-0.000760746,2.26026,2.96994,0.000297775,1.80139,2.97,1.23785e-08,-4.1066e-06,0.576055,3.08046
res_ff_-40c_2.97v_1u_0.1_36,res_ff,-40,2.97,1u,0.1,36,0.000880858,0.00258213,0.00308262,1.88927,1.79975,199.211,249.613,272.722,-153.807,2.26026,2.88328,0.137209,2.14424e-09,2.97,1.01502e-08,-2.07735e-06,0.587795,3.08262
res_ff_-40c_2.97v_4.7u_0.001_36,res_ff,-40,2.97,4.7u,0.001,36,0.00088418,0.00258213,0.00308263,1.80616,1.79944,23.3487,53.0744,4.96127,-0.975019,2.26026,2.96994,1.38259e-09,0.00882667,2.97,1.15577e-08,-2.44572e-06,0.588945,3.08263
res_ff_-40c_2.97v_4.7u_0.5_36,res_ff,-40,2.97,4.7u,0.5,36,0.000880922,0.00258213,0.00308263,1.88068,1.77466,160.693,213.082,1464.35,-520.961,2.26025,3.95579,0.104866,0.00937475,2.97,9.10135e-09,-3.41923e-06,0.587818,3.08263
res_ff_-40c_3.30v_1u_0.1_36,res_ff,-40,3.30,1u,0.1,36,0.000908668,0.00262728,0.00314421,1.88151,1.79804,221.467,272.246,367.106,-170.249,2.34497,3.30959,0.113665,8.19446e-09,3.29999,1.34859e-08,-1.27452e-05,0.581865,3.14421
res_ff_-40c_3.63v_0.33u_0.001_36,res_ff,-40,3.63,0.33u,0.001,36,0.000934254,0.00266267,0.00318683,1.94329,1.86316,113.49,160.789,278.461,-161.236,2.42514,4.41227,0.322632,1.39272e-08,3.63001,7.94488e-09,1.3831e-05,0.578564,3.18683
res_ff_-40c_3.63v_0.33u_0.5_36,res_ff,-40,3.63,0.33u,0.5,36,0.000934254,0.00266267,0.00318683,1.94482,1.76754,158.835,211.348,1740.93,-1167,2.42511,4.53774,0.303237,-1.10666e-08,3.63002,2.31084e-09,2.05658e-05,0.578564,3.18683
res_ff_-40c_3.63v_1u_0.1_1e9,res_ff,-40,3.63,1u,0.1,1e9,0.00093178,0.00266151,0.00318578,1.80507,1.80172,7.43746,7.45789,7.38053,-0.00076543,2.42511,3.62992,0.000293588,1.79984,3.62999,1.6453e-08,-1.03559e-05,0.578125,3.18578
res_ff_-40c_3.63v_1u_0.1_36,res_ff,-40,3.63,1u,0.1,36,0.000934242,0.00266267,0.00318683,1.86969,1.79919,212.858,263.849,310.255,-157.995,2.42511,3.62225,0.0691669,1.01385e-08,3.63001,1.30556e-08,1.53556e-05,0.57856,3.18683
res_ff_-40c_3.63v_4.7u_0.001_36,res_ff,-40,3.63,4.7u,0.001,36,0.000932506,0.00266267,0.00318683,1.80452,1.79933,23.1335,52.8685,4.91321,-0.711284,2.42511,3.62992,1.97643e-09,0.00882255,3.63002,4.24919e-09,2.50504e-05,0.57798,3.18683
res_ff_-40c_3.63v_4.7u_0.5_36,res_ff,-40,3.63,4.7u,0.5,36,0.000934167,0.00266267,0.00318683,1.88804,1.79485,172.886,225.341,1164.49,-547.741,2.42511,3.75425,0.107939,0.00936178,3.62998,2.16218e-08,-2.62975e-05,0.578535,3.18683
res_ff_125c_2.97v_0.33u_0.001_36,res_ff,125,2.97,0.33u,0.001,36,0.000795899,0.0021033,0.00246839,1.90473,1.86298,82.5154,130.994,196.604,-156.7,2.09456,2.44474,0.26823,5.08655e-07,2.97006,6.03154e-09,6.21536e-05,0.764876,2.46839
res_ff_125c_2.97v_0.33u_0.5_36,res_ff,125,2.97,0.33u,0.5,36,0.000795899,0.0021033,0.00246839,1.90146,1.85874,97.042,147.664,813.873,-501.803,2.09455,2.58303,0.218696,4.89339e-07,2.97002,1.5462e-08,2.43369e-05,0.764876,2.46839
res_ff_125c_2.97v_1u_0.1_1e9,res_ff,125,2.97,1u,0.1,1e9,0.000793154,0.00210262,0.00246708,1.80546,1.80351,5.99537,6.01571,5.98465,-0.000371815,2.09453,2.9696,0.000147497,1.80168,2.96999,2.2957e-08,-9.2022e-06,0.76367,2.46708
res_ff_125c_2.97v_1u_0.1_36,res_ff,125,2.97,1u,0.1,36,0.000795866,0.0021033,0.00246839,1.85021,1.78911,112.381,162.668,181.046,-62.6096,2.09453,3.47669,0.0720921,5.12763e-07,2.96998,2.86891e-08,-2.56243e-05,0.764857,2.46839
res_ff_125c_2.97v_4.7u_0.001_36,res_ff,125,2.97,4.7u,0.001,36,0.000790872,0.00210331,0.00246841,1.80389,1.79915,20.4721,53.6711,4.35217,-0.789216,2.09453,2.9696,1.29721e-09,0.00882134,2.96999,2.04231e-08,-7.1375e-06,0.761941,2.46841
res_ff_125c_2.97v_4.7u_0.5_36,res_ff,125,2.97,4.7u,0.5,36,0.000793658,0.00210331,0.00246841,1.85209,1.82898,105.454,156.916,621.324,-213.648,2.09454,2.45628,0.0794761,0.00934813,2.97003,1.2028e-08,2.75711e-05,0.763562,2.46841
res_ff_125c_3.30v_1u_0.1_36,res_ff,125,3.30,1u,0.1,36,0.000823545,0.00214337,0.00251736,1.84747,1.80895,123.696,173.716,178.182,-80.7674,2.17749,3.45801,0.0750142,5.63939e-07,3.30003,1.33881e-08,3.20051e-05,0.757676,2.51736
res_ff_125c_3.63v_0.33u_0.001_36,res_ff,125,3.63,0.33u,0.001,36,0.000848719,0.00217671,0.00255587,1.9133,1.72861,88.3879,137.201,214.475,-156.723,2.25633,3.18641,0.282979,6.46471e-07,3.63,2.2188e-08,-1.53184e-06,0.753017,2.55587
res_ff_125c_3.63v_0.33u_0.5_36,res_ff,125,3.63,0.33u,0.5,36,0.000848719,0.00217671,0.00255587,1.88657,1.75647,119.229,170.529,1092.16,-531.552,2.25633,4.23639,0.172366,6.32563e-07,3.63001,1.82419e-08,1.49497e-05,0.753017,2.55587
res_ff_125c_3.63v_1u_0.1_1e9,res_ff,125,3.63,1u,0.1,1e9,0.000823981,0.00217938,0.00255276,1.80369,1.80184,5.91742,5.94277,5.90577,-0.000359394,2.25635,3.62955,0.000142251,1.80001,3.63,2.22903e-08,1.26258e-07,0.73779,2.55276
res_ff_125c_3.63v_1u_0.1_36,res_ff,125,3.63,1u,0.1,36,0.000848681,0.00217671,0.00255587,1.84034,1.78516,128.488,178.756,180.646,-61.8427,2.25634,3.22696,0.0732482,6.49444e-07,3.62999,2.63779e-08,-1.57009e-05,0.752996,2.55587
res_ff_125c_3.63v_4.7u_0.001_36,res_ff,125,3.63,4.7u,0.001,36,0.000835374,0.00217671,0.00255587,1.80234,1.79895,20.3629,53.4838,4.32835,-0.755899,2.25635,3.62955,2.36695e-09,0.00881848,3.62998,2.3473e-08,-2.5161e-05,0.745525,2.55587
res_ff_125c_3.63v_4.7u_0.5_36,res_ff,125,3.63,4.7u,0.5,36,0.000846336,0.00217671,0.00255587,1.85723,1.83362,115.29,166.772,651.499,-380.208,2.25636,3.04614,0.0827656,0.00935504,3.62999,2.2998e-08,-9.71457e-06,0.751668,2.55587
res_ff_27c_2.97v_1u_0.1_36,res_ff,27,2.97,1u,0.1,36,0.000827868,0.00233015,0.00276222,1.8711,1.79805,154.496,204.868,240.869,-92.9473,2.19325,2.91962,0.118619,1.05094e-08,2.96996,2.26023e-08,-4.22198e-05,0.665654,2.76222
res_ff_27c_3.30v_1u_0.1_36,res_ff,27,3.30,1u,0.1,36,0.000855941,0.00237336,0.00281796,1.86911,1.79857,175.808,226.354,278.596,-108.247,2.27719,3.23429,0.12545,5.96817e-09,3.3,1.36088e-08,-2.11459e-06,0.659014,2.81796
res_ff_27c_3.63v_1u_0.1_36,res_ff,27,3.63,1u,0.1,36,0.000881607,0.00240825,0.00285918,1.85196,1.79816,180.499,230.968,283.818,-107.59,2.35677,3.5316,0.0916263,2.07689e-08,3.62997,2.00427e-08,-2.87384e-05,0.655032,2.85918
res_ss_-40c_2.97v_0.33u_0.001_36,res_ss,-40,2.97,0.33u,0.001,36,0.00140194,0.00424612,0.00515386,2.02868,1.64061,97.423,145.63,239.022,-166.85,1.75674,2.11031,0.411848,1.58725e-09,2.97002,4.35419e-09,2.28502e-05,0.351595,5.15386
res_ss_-40c_2.97v_0.33u_0.5_36,res_ss,-40,2.97,0.33u,0.5,36,0.00140194,0.00424612,0.00515386,1.99066,1.86304,111.869,161.588,729.262,-627.494,1.75678,2.11454,0.370516,6.82828e-09,2.97,1.15944e-08,-5.06717e-06,0.351595,5.15386
res_ss_-40c_2.97v_1u_0.1_1e9,res_ss,-40,2.97,1u,0.1,1e9,0.0013549,0.00423767,0.0051512,1.80668,1.80352,5.25712,5.26723,5.24044,-0.00128349,1.75679,2.96981,0.000498725,1.80159,2.96999,9.23329e-09,-9.59323e-06,0.346889,5.1512
res_ss_-40c_2.97v_1u_0.1_36,res_ss,-40,2.97,1u,0.1,36,0.00140192,0.00424612,0.00515387,1.90169,1.79453,125.587,175.325,180.734,-89.9318,1.75678,2.13742,0.1921,3.9805e-09,2.96999,1.16076e-08,-1.05052e-05,0.351593,5.15387
res_ss_-40c_2.97v_4.7u_0.001_36,res_ss,-40,2.97,4.7u,0.001,36,0.00140378,0.00424612,0.00515388,1.80579,1.7995,16.2085,51.8773,3.44538,-0.69983,1.75679,2.96982,1.86238e-09,0.00882713,2.97,8.31678e-09,1.6283e-06,0.351823,5.15388
res_ss_-40c_2.97v_4.7u_0.5_36,res_ss,-40,2.97,4.7u,0.5,36,0.00140193,0.00424612,0.00515388,1.87907,1.8154,155.447,207.594,786.027,-440.331,1.75678,2.59255,0.104529,0.00938232,2.97001,6.9228e-09,9.977e-06,0.351594,5.15388
res_ss_-40c_3.30v_1u_0.1_36,res_ss,-40,3.30,1u,0.1,36,0.00144455,0.00431512,0.00524725,1.8868,1.82405,143.845,193.587,194.249,-109.754,1.75738,3.49798,0.144006,4.47454e-09,3.3,9.2679e-09,2.22584e-06,0.348363,5.24725
res_ss_-40c_3.63v_0.33u_0.001_36,res_ss,-40,3.63,0.33u,0.001,36,0.00148101,0.00436657,0.00530968,1.96217,1.83899,115.768,163.778,277.067,-163.301,1.75798,4.38747,0.374359,1.39282e-08,3.63001,4.99025e-09,1.31652e-05,0.346553,5.30968
res_ss_-40c_3.63v_0.33u_0.5_36,res_ss,-40,3.63,0.33u,0.5,36,0.00148101,0.00436657,0.00530968,1.97004,1.88126,129.798,181.237,1016.77,-615.983,1.75795,3.60721,0.342955,1.2281e-08,3.63,1.06536e-08,1.13256e-06,0.346553,5.30968
res_ss_-40c_3.63v_1u_0.1_1e9,res_ss,-40,3.63,1u,0.1,1e9,0.00153049,0.00436188,0.00530907,1.80488,1.80193,5.18272,5.1957,5.16618,-0.00126663,1.75796,3.62978,0.000495744,1.8,3.63,9.17688e-09,2.44484e-06,0.353183,5.30907
res_ss_-40c_3.63v_1u_0.1_36,res_ss,-40,3.63,1u,0.1,36,0.001481,0.00436657,0.00530968,1.85976,1.78067,153.691,203.948,209.202,-164.88,1.75795,3.37368,0.102686,1.53482e-08,3.62999,1.23906e-08,-5.60052e-06,0.346552,5.30968
res_ss_-40c_3.63v_4.7u_0.001_36,res_ss,-40,3.63,4.7u,0.001,36,0.00147999,0.00436657,0.00530968,1.80429,1.79941,16.1191,51.7543,3.42651,-0.622121,1.75796,3.62978,8.46576e-09,0.00882371,3.63,1.14778e-08,-2.78973e-06,0.346431,5.30968
res_ss_-40c_3.63v_4.7u_0.5_36,res_ss,-40,3.63,4.7u,0.5,36,0.00148092,0.00436657,0.00530968,1.88053,1.78275,159.745,211.951,1019.52,-356.725,1.75795,3.77241,0.105813,0.00935177,3.63,9.77181e-09,2.1811e-06,0.346542,5.30968
res_ss_125c_2.97v_0.33u_0.001_36,res_ss,125,2.97,0.33u,0.001,36,0.00126323,0.00345351,0.00413503,1.91767,1.70902,76.9578,124.885,186.117,-156.182,2.07316,2.31906,0.310329,5.08747e-07,2.96997,2.68371e-08,-3.65152e-05,0.456563,4.13503
res_ss_125c_2.97v_0.33u_0.5_36,res_ss,125,2.97,0.33u,0.5,36,0.00126323,0.00345351,0.00413503,1.90093,1.84918,84.6699,135.171,498.952,-313.514,2.0732,2.31865,0.25573,5.18395e-07,2.96999,2.4826e-08,-1.20235e-05,0.456563,4.13503
res_ss_125c_2.97v_1u_0.1_1e9,res_ss,125,2.97,1u,0.1,1e9,0.00125686,0.00341403,0.0041319,1.80582,1.8022,3.94666,3.95967,3.94335,-0.00102264,2.07318,2.96932,0.000406524,1.8003,2.96999,2.21572e-08,-1.32695e-05,0.46357,4.1319
res_ss_125c_2.97v_1u_0.1_36,res_ss,125,2.97,1u,0.1,36,0.00126319,0.00345351,0.00413503,1.84714,1.77904,80.2469,129.849,116.321,-62.9764,2.07317,2.30786,0.0931127,5.10854e-07,2.96999,2.34648e-08,-1.23599e-05,0.456554,4.13503
res_ss_125c_2.97v_4.7u_0.001_36,res_ss,125,2.97,4.7u,0.001,36,0.00126145,0.00345351,0.00413505,1.80365,1.79924,13.548,52.1871,2.88131,-0.637727,2.07318,2.96932,2.94613e-09,0.00882085,2.97008,-1.79349e-09,8.32808e-05,0.456192,4.13505
res_ss_125c_2.97v_4.7u_0.5_36,res_ss,125,2.97,4.7u,0.5,36,0.00126278,0.00345351,0.00413505,1.85226,1.77935,103.696,155.053,409.097,-166.409,2.07317,3.34206,0.0803685,0.00935845,2.96998,2.935e-08,-2.50716e-05,0.456469,4.13505
res_ss_125c_3.30v_1u_0.1_36,res_ss,125,3.30,1u,0.1,36,0.00130519,0.00351426,0.004209,1.84328,1.81577,95.1216,145.175,137.91,-91.5848,2.15346,3.41287,0.0899431,5.7844e-07,3.29995,3.68536e-08,-4.98099e-05,0.452679,4.209
res_ss_125c_3.63v_0.33u_0.001_36,res_ss,125,3.63,0.33u,0.001,36,0.0013425,0.00356401,0.00426654,1.89419,1.71654,98.5736,147.222,235.913,-157.548,2.21846,4.62113,0.266993,6.4645e-07,3.63001,1.75238e-08,1.32064e-05,0.450144,4.26654
res_ss_125c_3.63v_0.33u_0.5_36,res_ss,125,3.63,0.33u,0.5,36,0.0013425,0.00356401,0.00426654,1.88977,1.74171,97.4048,147.799,667.45,-398.763,2.21846,4.64265,0.203826,6.55486e-07,3.62999,2.78091e-08,-1.07098e-05,0.450144,4.26654
res_ss_125c_3.63v_1u_0.1_1e9,res_ss,125,3.63,1u,0.1,1e9,0.00129926,0.00354395,0.00426079,1.80355,1.80007,3.89592,3.91273,3.89125,-0.00101218,2.21848,3.62923,0.000402425,1.79818,3.62999,2.15467e-08,-5.79825e-06,0.445496,4.26079
res_ss_125c_3.63v_1u_0.1_36,res_ss,125,3.63,1u,0.1,36,0.00134247,0.003564,0.00426654,1.83026,1.78255,109.858,159.737,156.698,-214.821,2.21848,4.13188,0.0642853,6.53757e-07,3.62996,2.60257e-08,-3.76087e-05,0.45014,4.26654
res_ss_125c_3.63v_4.7u_0.001_36,res_ss,125,3.63,4.7u,0.001,36,0.00133331,0.003564,0.00426654,1.80227,1.79907,13.4999,52.0756,2.87096,-0.618307,2.21848,3.62924,2.41258e-09,0.00881882,3.63007,6.79873e-09,7.13881e-05,0.448292,4.26654
res_ss_125c_3.63v_4.7u_0.5_36,res_ss,125,3.63,4.7u,0.5,36,0.00134029,0.003564,0.00426654,1.855,1.78728,112.314,163.861,578.056,-214.174,2.21848,3.79043,0.0822665,0.00935243,3.62999,2.38345e-08,-1.11636e-05,0.449699,4.26654
res_ss_27c_2.97v_1u_0.1_36,res_ss,27,2.97,1u,0.1,36,0.00131443,0.0038275,0.00462066,1.86905,1.75551,103.3,153.133,171.219,-65.6956,1.97902,3.90251,0.142967,-1.65676e-09,2.97002,7.19665e-09,1.95051e-05,0.39792,4.62066
